customer_id,signup_date,tenure_months,plan_type,region,avg_sessions_per_week,avg_session_duration_minutes,feature_usage_score,days_since_last_login,monthly_fee,payment_method,failed_payments_last_3_months,discount_applied,support_tickets_count,avg_ticket_resolution_time_hours,customer_satisfaction_score,marketing_email_opens_last_30_days,churn
CUST100000,11-01-2024,29,Premium,Central,6.11,52.9,29.9,29,786,NetBanking,1,No,0,7.3,5,4,0
CUST100001,29-11-2024,15,PRO,North,8.36,23.1,54.1,94,496,NetBanking,1,Yes,2,1.7,3,0,1
CUST100002,01-07-2025,8,Pro,North,5.66,34.4,89.6,42,580,UPI,1,No,1,5.3,4,4,0
CUST100003,12-11-2023,21,PRO,West,3.85,39.7,45.8,31,512,UPI,3,No,2,8.6,1,5,0
CUST100004,04-10-2024,19,Premium,South,7.15,21.4,53.6,66,780,UPI,0,No,0,5,4,8,0
CUST100005,17-08-2024,23,Basic,East,7.53,11.4,67.2,66,249,Card,0,Yes,1,3.6,3,11,1
CUST100006,05-06-2024,11,Pro,South,2.01,39.2,38,41,595,NetBanking,0,Yes,2,7.2,4,1,1
CUST100007,03-04-2024,11,PRO,East,6.33,14.1,88,4,547,UPI,2,No,3,11.5,5,6,0
CUST100008,11-10-2023,24,PRO,East,4.73,45.1,96.6,98,474,NetBanking,0,No,1,24.6,5,9,0
CUST100009,27-10-2025,24,basic,Central,4.07,32.8,68.5,85,266,Card,0,No,3,10.3,4,10,0
CUST100010,22-05-2025,3,Pro,South,3.23,67.2,67.5,95,525,Card,2,Yes,2,3.5,3,9,1
CUST100011,04-08-2024,22,PRO,Central,2.56,37.1,70.6,58,539,Card,1,No,2,32.7,3,9,0
CUST100012,05-12-2024,2,Pro,West,2.08,24.3,27.5,22,444,UPI,1,No,0,2.3,4,5,1
CUST100013,29-04-2025,24,PRO,East,4.36,46.8,75.9,101,550,Card,2,Yes,1,3.5,3,7,0
CUST100014,17-10-2025,30,Pro,North,1.51,51.1,41.2,105,518,UPI,2,No,1,1.4,4,7,0
CUST100015,09-08-2023,2,Premium,East,6.75,14.8,99.4,7,740,NetBanking,1,Yes,3,11.4,3,6,0
CUST100016,11-01-2025,21,Pro,West,3.75,41.5,77.7,67,431,Card,0,No,1,2,4,12,0
CUST100017,06-05-2025,33,Pro,East,17.28,40.2,62.5,69,439,UPI,2,No,2,1.4,1,4,0
CUST100018,07-02-2025,12,Basic,Central,2.14,49.5,92.1,90,273,UPI,0,No,1,18.6,3,8,0
CUST100019,27-12-2024,22,Basic,South,5.79,19.6,97.3,108,217,UPI,1,No,0,15,5,5,0
